,imagename,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15
92,0891c_num3.png,2,2,2,2,2,2,2,1,1,2,2,3,4,2,2
93,1037b_num1.png,2,1,1,1,2,2,1,1,1,4,2,2,4,2,2
94,0636b_num3.png,1,1,1,1,2,2,1,1,1,2,1,1,2,2,1
95,0348a_num4.png,1,1,3,3,2,1,1,1,1,2,2,3,4,2,2
96,0918c_num1.png,2,2,2,2,2,2,4,2,1,3,2,1,2,2,2
97,0864c_num1.png,2,2,2,2,2,2,1,1,1,2,2,2,4,2,1
98,0737c_num5.png,1,2,2,2,2,2,1,1,1,2,2,3,2,2,2
99,0587b_num5.png,2,2,2,2,2,2,1,1,1,2,1,3,2,1,1
100,0964b_num4.png,2,2,2,2,2,2,2,1,1,2,1,3,4,2,1
101,1152b_num1.png,1,2,2,2,2,2,2,1,1,2,1,3,2,2,1
102,0769b_num2.png,1,2,2,2,2,1,1,1,1,1,2,1,4,2,1
103,1143b_num1.png,1,1,3,3,2,2,1,1,1,1,2,3,2,2,2
104,0164a_num4.png,1,2,2,2,2,1,4,1,1,1,1,1,1,2,1
105,0062a_num1.png,1,2,2,2,2,2,2,1,1,2,1,2,4,1,1
106,0354c_num3.png,2,2,2,2,2,1,2,1,1,2,2,3,2,2,2
107,0342b_num1.png,2,2,2,2,2,2,2,1,1,2,2,1,4,2,2
108,0086b_num3.png,1,2,2,3,2,1,1,1,1,1,2,2,2,1,2
109,0257b_num1.png,1,2,2,1,2,2,3,2,1,2,1,3,2,1,2
110,1453a_num2.png,2,2,2,2,2,1,1,1,1,3,2,3,2,1,2
111,0949c_num4.png,2,3,2,1,2,2,1,1,1,1,1,1,1,1,2
112,0641c_num2.png,2,2,2,2,2,1,1,2,1,2,2,2,3,2,2
113,0180a_num3.png,2,1,3,3,2,1,1,1,1,2,2,1,1,1,2
114,1195a_num1.png,1,2,2,2,2,1,1,2,1,2,2,3,2,2,2
115,1445c_num1.png,2,3,1,1,2,2,3,1,1,2,2,3,3,1,2
116,0336c_num1.png,2,2,2,2,2,2,2,1,1,2,2,3,4,1,2
117,1516b_num1.png,2,2,2,2,2,2,3,1,1,2,1,3,2,1,1
118,0959a_num4.png,1,3,2,2,2,2,1,1,1,2,2,2,3,2,2
119,1194cc_num1.png,2,2,3,3,2,2,3,1,1,2,2,2,4,2,2
120,0578c_num5.png,1,2,3,2,2,1,1,1,1,2,2,1,1,2,2
121,0354c_num4.png,2,2,2,2,2,1,3,1,1,2,2,3,2,2,2
122,0413c_num1.png,2,3,2,2,2,2,3,2,1,2,2,3,1,1,2
123,1077b_num2.png,2,2,3,3,2,1,1,2,1,4,2,1,1,2,2
124,1387b_num1.png,2,3,3,3,2,1,1,1,1,2,2,2,1,2,2
125,0153a_num1.png,2,3,2,2,2,1,1,2,1,2,2,2,2,2,2
126,0534c_num5.png,1,3,2,2,2,1,1,1,1,2,2,2,2,2,2
127,0578b_num5.png,1,2,3,2,2,1,1,1,1,2,2,2,1,1,2
128,1250a_num1.png,1,3,2,2,2,2,1,1,1,2,2,2,2,2,2
129,1179b_num3.png,1,2,3,2,2,1,1,1,1,2,2,2,2,2,2
130,0455aa_num1.png,2,3,2,2,2,2,2,1,1,1,1,3,2,1,1
131,0944a_num2.png,1,2,2,2,2,2,1,1,1,2,1,2,2,2,1
132,1358b_num6.png,2,2,2,2,2,2,1,2,1,1,2,3,2,1,1
133,0165b_num1.png,2,2,3,2,2,2,1,2,1,4,1,2,2,1,2
134,1354b_num2.png,1,1,2,2,2,2,2,1,1,4,2,3,4,2,2
135,1395b_num2.png,1,1,3,3,2,1,1,1,1,1,2,1,1,2,1
136,0056b_num5.png,2,2,2,2,2,2,2,1,1,1,1,3,2,1,1
137,0301c_num1.png,2,2,2,2,2,1,3,1,1,2,2,2,1,1,2
138,0641b_num1.png,1,1,3,3,2,2,1,2,1,1,2,2,2,2,1
139,1362b_num1.png,2,3,1,1,2,2,2,1,1,2,1,3,4,1,2
140,1010c_num4.png,1,2,2,2,2,2,1,2,1,2,1,2,3,1,2
141,0084a_num3.png,1,2,2,2,2,1,1,2,1,4,1,2,1,1,1
142,1289a_num4.png,1,2,2,2,2,2,1,1,1,2,1,3,2,2,2
143,0801b_num6.png,1,2,3,3,1,1,1,1,1,1,2,1,1,2,2
144,0442b_num3.png,2,2,2,2,2,1,1,1,1,2,2,3,3,2,2
145,0186c_num1.png,2,3,2,1,2,2,4,1,1,2,1,3,2,1,2
146,0842a_num2.png,1,2,2,1,2,2,3,2,1,2,2,1,1,1,2
147,1306c_num3.png,2,3,1,1,2,2,1,1,1,1,1,3,2,1,1
148,0294a_num1.png,2,3,1,1,2,2,3,1,1,2,1,1,3,1,2
149,0011c_num2.png,2,2,2,2,2,2,2,1,1,2,2,3,2,2,2
150,0722a_num3.png,2,2,1,1,2,2,3,1,1,2,2,3,3,1,2
151,0725a_num4.png,1,2,2,2,2,1,1,1,1,1,2,1,1,2,2
152,0312b_num2.png,2,2,2,2,2,1,1,1,1,2,2,2,1,2,2
153,0936c_num1.png,1,2,3,3,2,2,1,2,1,2,1,3,2,2,1
154,1491a_num3.png,2,2,2,2,2,2,2,1,1,2,2,3,4,2,2
155,0523a_num1.png,2,3,1,1,2,2,3,1,2,3,2,3,3,2,2
156,0556c_num4.png,1,2,2,2,2,2,1,1,1,3,2,3,3,2,2
157,1284aa_num1.png,2,2,2,1,2,2,4,1,2,2,2,3,4,2,2
158,0737c_num3.png,1,2,2,2,2,2,1,1,1,2,2,3,4,2,2
159,0991b_num5.png,2,2,2,2,2,1,1,2,1,2,2,2,4,2,2
160,0715c_num5.png,2,2,2,2,2,2,2,1,1,2,2,3,2,2,2
161,0293b_num4.png,2,1,2,2,2,2,1,1,1,1,2,2,1,1,2
162,0626bb_num1.png,2,2,2,2,2,2,2,1,1,3,2,3,4,2,2
163,0057a_num1.png,1,2,3,3,2,1,1,1,1,1,2,2,2,2,2
164,0641b_num3.png,1,2,3,2,2,1,1,2,1,4,2,3,3,2,2
165,1266bb_num3.png,2,1,1,1,2,2,2,1,1,1,1,1,1,1,1
166,1196c_num5.png,2,3,2,2,2,2,2,1,1,2,2,2,3,2,2
167,1276b_num2.png,2,2,2,2,2,1,1,1,1,4,2,2,1,1,2
168,0285b_num4.png,2,2,2,3,2,2,3,1,1,2,2,3,2,2,2
169,1053a_num2.png,2,2,2,2,2,2,1,1,1,2,2,3,2,2,2
170,0278a_num2.png,2,3,2,2,2,2,1,1,1,2,2,3,4,1,1
171,0614a_num5.png,1,1,2,1,2,2,1,1,1,1,1,2,2,1,1
172,0600c_num5.png,2,2,2,1,2,2,1,1,1,1,2,2,4,1,2
173,1052c_num5.png,2,2,1,2,2,2,2,1,2,2,2,2,3,2,2
174,1309b_num2.png,2,2,2,2,2,1,3,1,1,2,1,3,1,2,2
175,1235c_num2.png,2,2,2,1,2,2,2,1,1,2,2,2,2,2,2
176,0654b_num3.png,1,2,3,3,2,1,2,1,1,2,2,2,2,2,2
177,1300b_num2.png,2,2,2,2,2,2,1,1,1,2,2,2,4,2,2
178,0354a_num5.png,2,2,2,2,2,1,3,1,1,4,2,3,2,2,2
179,0654b_num2.png,1,2,3,3,2,1,1,1,1,2,2,2,1,2,2
180,0248b_num5.png,2,1,2,2,2,2,1,1,1,1,2,3,2,2,1
181,0834a_num3.png,1,2,2,2,2,1,4,1,1,4,2,3,4,1,2
182,1101c_num3.png,2,3,2,2,2,1,1,1,1,2,2,2,1,1,1
183,0993b_num2.png,2,1,2,1,2,2,1,1,1,1,1,3,2,1,1
184,0505c_num1.png,2,2,3,3,2,1,1,1,1,3,2,2,4,2,2
185,1397a_num1.png,2,3,1,1,2,1,3,1,1,2,2,2,2,1,2
186,0394b_num4.png,2,2,1,1,2,2,2,1,1,1,2,2,2,2,2
187,0491c_num1.png,2,2,1,1,2,2,2,1,1,2,2,3,3,1,2
188,1345c_num3.png,2,2,3,2,2,1,4,2,1,2,2,2,2,2,2
189,0941a_num3.png,2,2,2,2,2,2,2,1,1,1,2,3,2,1,2
190,0867a_num1.png,1,2,3,2,2,2,1,1,1,2,2,2,3,2,2
191,0721c_num3.png,1,1,3,2,2,1,1,1,1,4,2,2,2,1,1
192,0215a_num2.png,2,2,2,1,2,2,2,1,1,4,2,2,4,2,2
193,0502a_num3.png,2,2,2,2,2,1,1,1,2,2,2,2,1,2,2
194,0747b_num2.png,2,1,2,2,2,2,1,1,1,2,2,2,4,1,2
195,0949a_num2.png,2,2,2,1,2,2,4,1,1,3,2,2,3,1,2
196,0307b_num1.png,2,2,2,1,2,1,2,1,1,1,2,3,3,1,2
197,1068bb_num2.png,2,2,3,3,2,1,2,2,1,1,2,1,1,1,2
198,0701b_num4.png,1,2,2,2,2,2,1,1,1,2,2,2,3,2,2
199,1113c_num2.png,1,2,3,3,2,1,1,1,1,2,2,2,2,2,2
200,0886a_num5.png,2,2,2,1,2,2,1,1,1,2,2,3,3,1,1
201,0018a_num2.png,2,3,2,2,2,1,1,1,1,4,2,2,4,1,2
202,0304c_num2.png,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2
203,0747c_num4.png,2,2,2,2,2,2,3,1,1,2,2,2,4,1,2
204,0951b_num4.png,1,3,3,3,2,1,1,2,1,1,2,2,2,1,2
205,0623b_num3.png,2,1,2,2,2,2,2,1,1,2,2,3,2,1,2
206,1417a_num1.png,2,3,1,1,2,2,2,1,1,4,2,3,2,1,2
207,0593c_num1.png,2,2,2,1,2,2,3,1,1,2,2,3,2,1,2
208,1176b_num2.png,2,1,1,1,2,2,3,2,1,1,2,3,2,1,1
209,0524a_num5.png,1,2,2,1,2,2,4,1,1,4,2,2,2,1,2
210,1123aa_num1.png,2,2,2,2,2,2,2,1,1,2,2,3,2,1,1
211,0381b_num4.png,2,3,1,1,2,2,3,1,1,2,1,3,2,1,1
212,0911c_num2.png,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2
213,1275a_num3.png,2,3,1,1,2,1,4,1,1,2,2,1,1,1,2
214,1303b_num2.png,1,2,3,3,2,2,1,1,1,3,2,3,3,1,2
215,0563a_num1.png,2,3,3,2,2,2,1,1,1,3,1,3,4,1,1
216,0180a_num2.png,2,1,3,3,2,1,4,1,1,3,2,1,1,1,2
217,0170b_num4.png,1,1,2,1,2,2,2,1,1,2,1,2,2,1,1
218,0779a_num2.png,2,2,2,2,2,1,1,1,1,2,2,2,1,1,2
219,1356c_num3.png,1,2,2,2,2,1,1,1,1,2,2,2,2,2,2
220,0444c_num3.png,2,2,2,3,2,2,1,1,1,1,2,2,1,1,2
221,0625b_num2.png,2,2,1,1,2,2,2,1,1,4,2,2,3,1,2
222,0255a_num4.png,2,2,2,2,2,2,1,1,1,2,2,2,1,1,2
223,1008a_num2.png,2,3,2,2,2,1,1,1,1,4,2,2,2,1,2
224,1418c_num4.png,1,1,3,2,2,2,1,2,2,1,1,3,2,1,1
225,0387c_num3.png,2,3,2,2,2,1,1,1,1,2,2,3,2,2,2
226,0273a_num1.png,2,1,2,1,2,2,3,1,1,4,1,3,3,1,1
227,0607a_num1.png,2,2,2,2,2,2,1,1,1,3,2,3,3,2,2
228,1564b_num3.png,2,3,2,1,2,2,2,1,1,1,1,3,2,1,1
229,0082a_num4.png,2,2,2,2,2,2,1,1,1,4,2,2,4,2,2
230,0825a_num1.png,2,2,2,2,2,1,1,1,1,4,1,1,1,1,1
231,0020b_num4.png,2,2,2,2,2,1,1,1,1,2,2,2,2,1,2
232,0701a_num4.png,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2
233,1247b_num1.png,2,2,3,2,2,2,1,1,1,4,2,2,2,1,2
234,0641a_num1.png,1,2,3,3,2,2,1,1,1,4,2,2,2,2,2
235,1173b_num3.png,2,3,1,1,2,2,4,2,1,2,1,3,2,1,1
236,0705b_num1.png,2,3,2,2,2,2,1,1,1,3,2,2,3,2,2
237,0520b_num2.png,2,3,2,1,2,2,2,2,1,3,2,3,4,2,2
238,0337c_num3.png,2,3,1,1,2,2,3,1,1,2,1,3,2,2,1
239,1299c_num3.png,2,2,1,2,2,2,2,1,1,2,2,1,1,2,2
240,0008b_num4.png,1,3,3,3,2,1,1,1,1,2,2,2,2,2,2
241,0218b_num2.png,2,2,2,2,2,2,1,1,1,2,2,2,2,2,1
242,1181a_num2.png,2,2,2,1,2,2,1,1,2,3,1,3,2,2,1
243,1024b_num3.png,2,2,2,1,2,2,1,1,1,2,1,3,2,1,1
244,0948c_num1.png,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2
245,1102b_num3.png,1,2,2,1,2,2,4,1,1,4,2,3,1,2,1
246,1241a_num1.png,1,2,2,1,2,1,2,1,1,2,2,2,2,2,2
247,0968a_num2.png,2,2,2,1,2,2,3,1,1,2,2,2,2,2,2
248,0782c_num4.png,1,3,1,3,2,1,1,2,1,1,1,1,1,1,1
249,0019c_num2.png,2,2,3,3,2,2,1,1,1,3,2,2,2,2,2
250,1045b_num3.png,2,2,2,3,2,1,2,1,1,2,2,2,1,2,2
251,1435a_num1.png,2,2,2,2,2,2,1,1,1,3,2,3,3,1,1
252,0149c_num6.png,2,2,2,3,2,1,1,1,1,2,2,1,1,2,2
253,0098b_num2.png,2,1,1,1,2,2,4,1,1,4,1,1,3,1,1
254,0871c_num5.png,1,3,3,2,2,1,1,1,1,2,2,2,3,2,2
255,0809c_num1.png,2,2,2,2,2,2,3,1,1,3,2,2,4,2,2
256,1304c_num5.png,2,3,2,2,2,1,1,1,1,4,2,2,1,1,2
257,1188b_num1.png,2,2,3,2,2,2,1,1,1,4,2,2,4,2,2
258,1287c_num1.png,2,2,2,3,2,2,1,1,1,2,2,2,2,2,2
259,0777a_num3.png,1,2,2,2,2,2,2,2,1,4,2,2,2,2,2
260,0055c_num4.png,2,2,2,1,2,2,1,1,1,1,2,3,3,1,2
261,0011a_num6.png,2,2,2,2,2,2,1,1,1,4,2,2,3,2,2
262,0956b_num2.png,2,2,1,1,2,2,3,1,2,1,1,2,4,1,1
263,1546b_num2.png,2,3,2,3,2,2,1,2,1,2,2,3,3,2,2
264,1419c_num2.png,1,2,3,3,2,2,2,1,1,2,1,3,2,1,1
265,0646b_num4.png,2,3,2,1,2,2,1,1,1,1,1,3,4,2,1
266,0380b_num3.png,2,2,1,2,2,2,4,1,1,3,2,2,4,2,2
267,1142b_num2.png,1,1,2,1,2,2,1,1,2,1,1,2,4,1,1
268,0103c_num2.png,2,2,2,2,1,1,1,1,1,1,2,1,1,2,2
269,0717cc_num1.png,2,2,2,2,2,2,2,1,1,2,2,3,3,2,2
270,0912a_num1.png,1,1,2,3,2,2,1,1,1,1,2,3,2,1,2
271,0421a_num3.png,2,2,2,3,2,2,3,1,1,2,2,2,4,1,2
272,0115a_num4.png,1,2,2,2,2,1,4,1,1,2,2,3,2,1,2
273,1304c_num2.png,1,3,3,3,2,1,1,1,1,1,2,1,1,1,1
274,0276a_num2.png,1,2,3,2,2,1,1,1,1,2,2,2,1,2,2
275,0190b_num2.png,2,3,1,1,2,2,2,2,1,4,1,2,3,1,1
276,1333a_num4.png,2,2,3,3,2,1,1,1,1,2,2,2,1,2,1
277,0244c_num1.png,2,2,2,1,2,2,3,1,1,2,2,3,2,2,2
278,0598a_num3.png,1,3,2,2,1,1,1,1,1,1,2,1,1,2,2
279,0990c_num3.png,2,3,2,2,2,1,1,1,1,2,2,2,2,2,2
280,0712c_num1.png,1,3,2,2,2,2,1,2,1,2,2,2,4,2,2
281,0397c_num4.png,2,2,3,2,2,2,1,1,1,3,2,2,3,2,2
282,0800a_num1.png,2,2,2,2,2,1,1,1,1,1,2,2,4,1,1
283,0819c_num3.png,2,2,2,2,2,2,1,1,1,2,2,3,2,2,2
284,1008c_num2.png,2,1,2,3,2,2,2,1,1,2,2,2,2,1,1
285,0525a_num2.png,2,2,1,2,2,2,1,1,1,2,1,3,4,2,2
286,0463c_num3.png,2,1,2,1,2,2,1,1,1,1,1,3,4,1,1
287,1356b_num6.png,2,2,1,2,2,2,3,2,1,4,2,3,4,2,2
288,1119b_num3.png,1,3,2,2,2,2,1,1,1,1,2,3,2,2,2
289,0487c_num1.png,2,3,1,1,2,2,2,1,2,2,2,1,4,1,2
290,1000a_num2.png,2,2,3,2,2,1,1,1,1,4,2,2,2,2,2
291,1066b_num2.png,2,2,2,2,2,1,1,1,1,2,2,2,3,2,1
292,1323b_num5.png,2,2,1,1,2,2,3,1,1,4,2,3,1,2,1
293,0570b_num4.png,2,2,2,1,2,2,2,1,1,2,2,2,3,2,2
294,1560b_num1.png,2,2,2,2,2,1,1,1,1,2,2,2,2,2,2
295,1300c_num2.png,2,3,2,1,2,2,2,1,1,2,1,3,4,1,2
296,0831b_num1.png,1,2,3,3,2,2,1,1,1,2,2,1,2,2,2
297,0202a_num1.png,2,2,2,2,2,2,4,1,1,2,2,3,2,2,2
298,1012a_num4.png,2,3,2,2,2,1,3,2,1,1,1,2,1,1,1
299,0605b_num2.png,2,2,2,2,2,1,1,1,1,2,2,3,2,2,2
300,0716c_num1.png,2,3,3,3,2,1,1,1,1,2,2,2,1,2,2
301,1173b_num2.png,2,2,2,1,2,2,3,1,1,1,2,3,1,1,1
302,1560b_num2.png,2,2,2,2,2,1,4,1,1,4,2,2,2,2,2
303,1038c_num1.png,1,2,2,2,2,2,2,1,1,2,2,3,4,2,2
304,1215b_num6.png,1,3,3,3,2,1,1,1,1,2,2,2,1,2,2
305,1292a_num1.png,2,2,2,2,2,2,2,1,1,2,2,3,4,1,1
306,0349c_num2.png,2,2,3,3,2,2,2,1,1,1,2,3,2,2,1
307,1164b_num2.png,2,3,1,1,2,2,2,1,2,2,1,3,4,1,1
308,0510a_num4.png,1,2,2,2,2,2,1,2,1,2,2,2,2,2,1
309,0275a_num1.png,1,2,3,3,1,1,2,1,1,1,2,1,1,2,2
310,0955c_num6.png,2,2,2,2,2,2,2,1,1,2,2,3,3,2,2
311,0825b_num6.png,2,2,2,2,2,1,1,1,1,2,2,2,3,1,2
312,0871b_num3.png,1,2,3,2,2,1,1,1,1,2,2,2,2,2,2
313,0908a_num3.png,1,2,3,1,2,2,2,1,1,2,2,2,1,2,2
314,0145b_num4.png,1,2,3,3,2,2,2,2,1,1,2,2,2,1,2
315,0688a_num3.png,2,2,2,2,2,2,2,1,1,4,2,3,2,2,2
316,0455b_num2.png,2,2,2,2,2,2,2,1,1,2,2,3,4,2,1
317,0171b_num1.png,1,2,2,2,2,1,1,1,1,2,2,2,4,2,2
318,0871b_num6.png,1,1,3,2,2,1,1,1,1,2,2,2,1,2,2
319,0439aa_num1.png,2,1,1,1,2,2,1,1,1,1,1,3,1,1,1
320,1117b_num5.png,2,1,1,1,2,2,4,1,1,1,2,2,2,1,2
321,0080b_num2.png,1,3,2,3,2,1,4,1,1,2,2,2,1,2,2
322,0932c_num3.png,1,1,2,1,2,2,1,1,1,2,2,1,2,2,1
323,0379b_num4.png,1,1,1,1,2,1,1,1,1,2,2,3,2,1,1
324,0181c_num1.png,2,1,2,2,2,1,1,1,1,1,2,3,2,2,1
325,0905c_num3.png,1,1,3,2,2,1,1,1,1,1,2,2,1,2,2
326,0157a_num4.png,2,1,2,1,2,1,1,1,1,1,2,2,1,1,1
327,0127c_num2.png,2,1,1,1,2,2,2,2,1,3,2,3,2,2,1
328,1437b_num2.png,1,1,2,2,2,1,1,1,1,2,1,2,1,1,1
329,1187c_num5.png,1,1,1,1,2,1,1,1,1,1,2,1,1,1,2
330,0510c_num5.png,1,1,3,2,2,2,1,1,1,2,2,2,2,1,2
331,0363a_num1.png,1,1,1,1,2,1,1,1,1,2,2,3,2,1,2
332,1045c_num4.png,1,1,1,1,2,1,1,1,1,1,2,2,1,2,2
333,0027c_num1.png,2,1,1,1,2,1,1,1,1,1,2,1,1,1,1
334,0743c_num3.png,1,1,2,1,2,1,1,1,1,1,2,2,1,1,2
335,1209b_num2.png,2,1,1,1,2,2,1,1,1,1,1,2,2,1,1
336,0300c_num3.png,1,1,1,1,2,2,1,1,1,1,2,3,3,2,2
337,0950a_num2.png,2,1,1,1,2,1,1,1,1,2,2,2,2,1,2
